0.010000;-6.767165e-02;-2.383247e-04;1.051334e-03
0.020000;-9.517106e-02;-6.692989e-04;3.077888e-03
0.030000;-1.158986e-01;-1.220928e-03;5.857674e-03
0.040000;-1.330534e-01;-1.866630e-03;9.351474e-03
0.050000;-1.478765e-01;-2.590418e-03;1.356487e-02
0.060000;-1.610101e-01;-3.381401e-03;1.852667e-02
0.070000;-1.728330e-01;-4.231551e-03;2.428626e-02
0.080000;-1.835912e-01;-5.134235e-03;3.090105e-02
0.090000;-1.934697e-01;-6.084218e-03;3.844786e-02
0.100000;-2.025804e-01;-7.077136e-03;4.702092e-02
0.110000;-2.110278e-01;-8.108974e-03;5.672669e-02
0.120000;-2.188817e-01;-9.176592e-03;6.769609e-02
0.130000;-2.262121e-01;-1.027702e-02;8.008094e-02
0.140000;-2.330364e-01;-1.140765e-02;9.406452e-02
0.150000;-2.394068e-01;-1.256602e-02;1.098563e-01
0.160000;-2.453758e-01;-1.375023e-02;1.277145e-01
0.170000;-2.509434e-01;-1.495817e-02;1.479411e-01
0.180000;-2.561445e-01;-1.618810e-02;1.708957e-01
0.190000;-2.609965e-01;-1.743863e-02;1.970128e-01
0.200000;-2.654995e-01;-1.870818e-02;2.268055e-01
0.210000;-2.697057e-01;-1.999449e-02;2.608918e-01
0.220000;-2.735804e-01;-2.129825e-02;3.000221e-01
0.230000;-2.771757e-01;-2.261598e-02;3.450341e-01
0.240000;-2.804744e-01;-2.394766e-02;3.969926e-01
0.250000;-2.834938e-01;-2.529331e-02;4.569970e-01
0.260000;-2.862340e-01;-2.664943e-02;5.263215e-01
0.270000;-2.887124e-01;-2.801603e-02;6.061703e-01
0.280000;-2.909115e-01;-2.939484e-02;6.975732e-01
0.290000;-2.928662e-01;-3.078063e-02;8.009840e-01
0.300000;-2.945592e-01;-3.217514e-02;9.159488e-01
0.310000;-2.959904e-01;-3.357664e-02;1.040600e+00
0.320000;-2.971772e-01;-3.498687e-02;1.171552e+00
0.330000;-2.981197e-01;-3.640233e-02;1.304250e+00
0.340000;-2.988004e-01;-3.782303e-02;1.433753e+00
0.350000;-2.992367e-01;-3.924722e-02;1.555786e+00
0.360000;-2.994287e-01;-4.067839e-02;-1.474157e+00
0.370000;-2.993763e-01;-4.211130e-02;-1.374290e+00
0.380000;-2.990622e-01;-4.354771e-02;-1.286360e+00
0.390000;-2.985211e-01;-4.498586e-02;-1.209653e+00
0.400000;-2.977183e-01;-4.642750e-02;-1.143103e+00
0.410000;-2.966711e-01;-4.786915e-02;-1.085420e+00
